,organizer,session-title,text

24,Kyle K. Ikeda,Reflecting on Ryukyuan and Okinawan Literary Studies ,"This panel explores challenges, insights, and suggestions for researching, translating, and teaching Ryukyuan and 
Okinawan Literature. The recent publications in English of two canonical kumi odori plays, the anthology of modern 
Okinawan literature Islands of Protest, and the first English translation of a novel by an Okinawan writer, In the Woods of 
Memory (by Medoruma Shun), taken together mark a significant moment for Ryukyuan, Okinawan and Japanese literary 
studies. Now scholars and students of Japan, Okinawa, and the Ryukyus have access in English to many of the foremost 
pieces of Ryukyuan and Okinawan literature which cover a variety of important topics and themes. The panel discussants 
will share their experience regarding the research, translation, and/or teaching of Ryukyuan and/or Okinawan literature for 
the purpose of sharing insights, collaboratively thinking through common challenges, and reflecting on the significance of 
the increased access to Ryukyuan and Okinawan literary texts in English. 

Nobuko Ochner will share some of the challenges and insights from translating classical Ryukyuan kumi odori, Shushin 
Kani'iri and Manzai Tichiuchi, with reference to kumi odori in Hawaii. James Edwards will talk about the technical 
challenge of preserving the musicality in his translation of the prewar musical drama Iejima Hand-gwa, which integrates 
early modern Ryukyuan poetic forms within a modern through-composed musical structure. After discussing the process 
of compiling Islands of Protest: Japanese Literature from Okinawa, from inception to completion, Davinder Bhowmik will 
reflect on the anthology's place in her recent courses on Okinawan literature and film. Takuma Sminkey will present 
insights regarding the interpretation and translating of Sakiyama Tami's ""Island Confinement"" and Medoruma Shun's In 
the Woods of Memory. He will also discuss his experience teaching Okinawan literature at Okinawa International 
University. Following her research on Sakiyama Tami's writing that demands critical engagement with the category of 
Okinawan literature, Vicky Young will discuss the possibilities, pitfalls, and significance of teaching Okinawan fiction, 
whose themes draw heavily on a US military presence, within a Japanese literature classroom in the UK. In addition to 
Ryukyu and Okinawa specialists, we hope to engage non-specialists interested in incorporating Ryukyuan/Okinawan texts 
into their courses. 
"

25,Aya Louisa McDonald,"Remembering Executive Order #9066: Post-war, Post-internment Art by Japanese ","Seventy-five years ago in the heart of the nation's capital, in the aftermath of the Japanese attack at Pearl Harbor and the 
US entry into WWII, President Roosevelt signed the infamous Executive Order #9066, which bypassed the rule of law 
and forcibly relocated thousands of Japanese residents of the west coast, many of them US citizens, to heavily guarded 
internment camps, known euphemistically as War Relocation Centers.  Far from belonging to the  past, the controversial 
issue of the Japanese wartime Internment is alive and relevant today, not just in the United States, but globally; the 
politics of racial and cultural exclusionism and the separation of peoples into hierarchies of value threatens democracy and 
justice everywhere. 

In this moment, three-quarters of a century after the fact, this panel focuses on the complex interrelation between the 
historical facts and the personal and collective memory of Japanese wartime incarceration, racism and dissidence, 
injustice and resistance, imagination and trauma, and modes of remembering in contemporary visual and performing art 
with the intention of moving the scholarly discussion beyond wartime into the present post-war, post-internment era. 

Three of the papers in this panel look deeply and critically at how contemporary Japanese and Japanese-American artists 
working in a variety of creative media, from painting, printmaking and photography, to theater, have mediated and 
transformed their experience into art, with what intent, and to what effect. The fourth paper takes up the issues in the 
context of exhibitions and curatorial power. 
"

26,Carl Gabrielson,Signs of Empire: Emerging Faces of Japanese Imperialism ,"Neo-imperial formations in Japan, as elsewhere, no longer require a settler colonial project to impose hegemonic 
structures abroad. Aside from Hokkaido and Okinawa, Japan was stripped of its colonial territories after its 1945 defeat. 
Yet, recent attempts by both state and corporate actors to expand Japan's regional influence are haunted by the ghosts of 
Japanese imperialism. Foreign aid policies that buoyed Japan's international reputation throughout the post-war era 
occupy a more ambivalent position today. Under the Abe administration's neoliberal branding, the state has shifted its aid 
policy away from humanitarianism toward boosting corporate profits and military-industrial partnerships. Moreover, 
purportedly harmless humanitarian projects may nevertheless serve militarist ideological ends domestically or impose 
imperial constraints on foreign beneficiaries abroad. 

In response, this panel will seek to reframe the question of how imperial formations occupy range of domains, from 
popular culture to peace-keeping operations. Smith considers how activists of the far right have cultivated and deployed 
an â€˜imperial subjectivity' as a political sensibility and philosophy of action. Gabrielson examines the recent inclusion of 
imperialist racial ideology in globally-oriented Japanese children's media in order to illustrate the increasingly 
sophisticated ways that nationalist and militarist agendas are inflecting Japan's cultural promotion policies. Lewallen 
argues that Japan has sought to prop up its beleaguered post-Fukushima nuclear sector by peddling a  Nuclear 
Renaissance packaged as foreign aid to developing nations. Sato and Weinek examine how efforts to increase the 
visibility of women in Japan's Self-Defense Forces conceal the emergence of new imperialist formations. 
"

27,Margherita Long,Fukushima: Sustaining Struggle ,"This round-table brings together three US-based academics who study Fukushima activism and two public intellectuals 
from Japan: community leader Mut Ruiko and filmmaker Kamanaka Hitomi. We will begin with how each of the three 
academics â€“ historian Hirano and literature scholars Field and Long -- sees Mut and Kamanaka addressing the social 
divisions and individual injuries resulting from the nuclear disaster, exacerbated by national  recovery (fukk) policies. 

Mut will describe the process by which citizens came together as Complainants for Criminal Prosecution of the 
Fukushima Nuclear Disaster and persisted in the face of repeated prosecutorial refusal to hold anyone accountable for the 
disaster. Their efforts twice yielded a decision by citizen inquest committees that three former TEPCO executives were 
 appropriate for indictment. Now, an extraordinary criminal trial has begun at Tokyo District Court. We will ask Mut 
about the significance of pursuing criminal responsibility for the nuclear disaster, in relation to the thirty civil cases 
involving some 10,000 plaintiffs unfolding throughout the country. We will take up MutÅ™s published interview with 
Hirano and her other writings and published speeches that emphasize the importance of fun, laughter, care, and gender in 
the everyday poetics of struggle. 

Kamanaka will outline how local screening-and-discussions (jishu jei) of her nuclear documentaries have built 
communities of alternate-media inspired activism, and how she has used online forums to create public spheres to contest 
the government's  safety myth with facts, science, and history. In response to Field's observation that workers and 
residents of communities hosting nuclear power plants are often forced to choose between biological life/safety (seimei) 
and economic livelihood (seikatsu), Kamanaka argues the possibility of engaging nuclear victimization in a way that 
demands but also generates energy in those communities. We will discuss this in the context of her films, four of which 
she has agreed to supply for the 2018 AAS Film Expo: 

Hibakusha at the End of the World (2003) 

Surviving Internal Radiation (2012) 

Little Voices of Fukushima (2014) 

Kama Repo (selections, monthly field-videos for e-subscribers, 2011-2017) 
"

28,Robert Hellyer,"The Meiji Restoration at 150:  Researching, Commemorating, and Teaching ","2018 marks the 150-year anniversary of the Meiji Restoration, a seminal moment in Japanese and arguably Asian modern 
history.  This roundtable offers an innovative panel format to examine the Restoration by combining discussion of its 
historical significance, its place in scholarly and popular discourse today, as well as approaches for exploring it in the 
classroom. Composed of historians, a legal scholar, and a political scientist, the panel will consider recent trends in 
scholarship along with the Restoration's 150-year commemoration inside and outside Japan.  Moreover, the panelists will 
discuss new approaches to teaching the Restoration, with emphasis on primary sources used and how the event can be 
presented within Asian and world history. 

The participants have researched the Restoration through respective military/economic, social, legal, political, and 
diplomatic lenses and three members bring viewpoints via researching and teaching the event at Japanese institutions.  
Additionally, three discussants and the chair will offer perspectives on current interpretations and research trends gained 
by organizing international symposia focused on the Restoration and its 150-year anniversary:  Hellyer (the civil wars 
surrounding the Restoration), Botsman (social change and spatial transformation during and after the Restoration), Takii 
(convener of a regular international workshop series on the Restoration and Meiji periods) and Dickinson (multi-year 
project exploring local and international connections between Japan and Philadelphia before and after the Restoration). 
Tinello brings perspectives on Okinawa's incorporation into the Meiji state following the Restoration and Leheny will 
review the Meiji Restoration and its 150-year commemorations in current Japanese political movements and discourse. 

To begin the session, each discussant will have up to 10 minutes to explain the Restoration through his research, detail 
perspectives on commemorations, and explain approaches to teaching the event. For approximately 20 minutes, the chair 
will then lead a larger discussion among the panelists, focusing on the following: what challenges does the Meiji 
Restoration pose for crafting narratives of modern Japanese history as well as why the Meiji Restoration is relevant to 
Japan and the world today?  The chair will assure that the remaining time will be reserved for questions, comments, and 
discussion from the audience. 
"

29,Matthew Shores,"Chic Freaks, Pro Amateurs, Double-Layered Antics, and Belly Buttons: The ","One of the hallmarks of the Edo period (1600-1868) is the flourishing of various new artistic and literary art forms, 
particularly those playful and humorous. This panel looks at comical arts and literature of the second half of the period, 
when the ruling class struggled to maintain power in the face of inevitable change. Comical arts flourished, fueling 
discontent and providing an outlet for subversion and/or escape. As we will show, comic storytelling traditionsâ€”and 
subsequent related publicationsâ€”were a particularly important in this. A range of arts parodied and undermined the 
Tokugawa regime though indirect criticism of things such as social classes and history that it and other powerful groups 
used to legitimate their authority. Some artists saw themselves as members of a brotherhood that embraced the frivolous 
yet valued traditional Edo culture; others may have genuinely had revolution in mind at a time when it was clear that 
society was undergoing rapid and violent change. The relationship between Edo period genres was often fluid, so one art 
could easily be embellished then inspire the next. This had important implications for materiality as regards performance, 
text, and image. Importantly, this panel looks at traditions in the two major urban centersâ€”Edo and Osakaâ€”showing that 
there were key regional differences in arts that need to be taken into consideration when accessing Edo period cultures, 
those comical or not. 
"

30,Julia Alekseyeva,Season of Image Politics: Japanese Visual Media in 1968 ,"The student and labor protests of 1968 were a global movement, stretching from Paris to Tokyo, New York to Prague. 
Japan's experience of this turbulent era-- what Yuriko Furuhata termed the  season of image politics-- is reflected in its 
rich history of visual media, including film, television, visual art, theatre, and photography. 

Through figures such as filmmakers Oshima Nagisa, Suzuki Seijun, Hani Susumu, and Wakamatsu Koji, photographer 
Nakahira Takuma and graphic designer Yokoo Tadanori, 1968 came to index not only student and labor movements, but a 
mode of thought. This interdisciplinary panel investigates how visual media bear witness to 1968 as a major global event, 
a locus of human rights struggles, and a definitive moment in the history of film, television, and other media.   

Will Carroll investigates differing interpretations of the controversial filmmaker Suzuki Seijun in 1968, as either a 
champion of the New Left, or an esoteric formalist. Julia Alekseyeva delves into two tendencies-- serious Brechtian 
alienation or comedic playfulness-- dominating the multidisciplinary projects of the Art Theatre Guild. Finally, Takuya 
Tsunoda analyzes several television programs of the 1960s, including animation and televisual tourism, which highlight a 
new way of thinking about 1968 as a new media moment. 

The 50th anniversary of 1968 allows us to place this immensely fruitful and turbulent year into context with the 
contemporary age. In so doing, this panel will illuminate 1968 Japan as both a historical event, and a mode of thought-- at 
times contradictory, but no less radical and revolutionary. 
"

31,Anne Giblin Gedacht,"Harnessing Manchurian Imaginaries in the Japanese Empire, 1930-1945 ","In Japan's Total Empire, Louise Young remarks  when Manchukuo caught a cold, Japan sneezed. (14)  This panel 
contends that  Manchuria had a potent figurative power that permeated the Japanese metropole beyond state-sponsored 
economic projects or the promotion of a singular nationalism. Instead, the imaginary of Manchuria took on a life of its 
own, becoming the foundation of narratives that sometimes overlapped and sometimes conflicted with the nationalist 
vision. Examining four cultural projects that mobilized the malleable discourse of  Manchuria, these papers showcase 
new research on how Japanese artists, regional intellectuals, policy makers, and minorities all employed the idea and ideal 
of Manchuria for their own ends. Anne Giblin Gedacht discusses how residents of a marginalized area in northeastern 
Japan highlighted their role as settlers in Manchuria to bolster regional prestige and their contribution to the wider 
nationalist project. Kari Shepherdson-Scott shows how Japanese art photographers romanticized Manchuria as rural idyll 
of agricultural development through the cultural lens of the nineteenth-century French Barbizon School. Evan Wells 
examines how narratives surrounding a seemingly prosaic Manchurian agricultural product, the soybean, can reveal the 
shifting priorities of policymakers in imagining Manchuria's relationship with Greater Japan. Finally, James Homsey 
explores how minority populations in Japan co-opted the Army's ideal of ""harmony of the five races"" in Manchuria to 
make demands of the Army-led state's nation-building project at home. Ultimately, this panel illustrates the unexpected, 
and sometimes subversive, ways Japanese actors adapted the flexible idea of  Manchuria to serve their respective desires 
and goals. 
"

32,Raechel L. Dumas,Bodies as Battlefields: Violent Entanglements with the Female Body in Modern ,"Literary analysis devoted to  body rhetorics, which address the materiality of the body, can enhance our understanding of 
the ways in which bodies are constructed and dismantled rhetorically. This panel finds particularly relevant the body in 
pain and the specificity of experiences of gendered violence. In Japanese literature, the entanglement of violence and 
femininity is a privileged avenue for articulating discourses on cultural crisis, revealing a tendency to imagine the female 
body as a site for elaborating the national body's open wounds. This panel traces evolving inscriptions of femininity as an 
object and agent of violence in Japanese fiction from the early twentieth century through the new millennium. Shouse 
opens with an examination of women as objects of male anxiety and violence in interwar fiction, emphasizing the female 
 Other as a metaphor for the transition to modernity both in Japan and in Japanese-occupied Korea. Dumas explores 
violent femininity in contemporary science fiction with attention to the monstrous maternal body as a site for mapping the 
breakdown of the national community and exposing the violent underpinnings of the contemporary Japanese state. 
Holloway analyzes the figure of the teenage girl as a vessel of cultural instability and danger in recessionary Japan, 
addressing sexual violence and HIV in fiction from the 1990s. Finally, Slaymaker takes up the female body in 3.11 
fiction, focusing on the anxiety-ridden experiences of women confronted by a hostile public and the contemporary 
resurgence of the all-too-familiar discourses on the female body that emerged in the wake of WWII. 
"

33,David Holloway,Bodies as Battlefields: Violent Entanglements with the Female Body in Modern ,"Literary analysis devoted to  body rhetorics, which address the materiality of the body, can enhance our understanding of 
the ways in which bodies are constructed and dismantled rhetorically. This panel finds particularly relevant the body in 
pain and the specificity of experiences of gendered violence. In Japanese literature, the entanglement of violence and 
femininity is a privileged avenue for articulating discourses on cultural crisis, revealing a tendency to imagine the female 
body as a site for elaborating the national body's open wounds. This panel traces evolving inscriptions of femininity as an 
object and agent of violence in Japanese fiction from the early twentieth century through the new millennium. Shouse 
opens with an examination of women as objects of male anxiety and violence in interwar fiction, emphasizing the female 
 Other as a metaphor for the transition to modernity both in Japan and in Japanese-occupied Korea. Dumas explores 
violent femininity in contemporary science fiction with attention to the monstrous maternal body as a site for mapping the 
breakdown of the national community and exposing the violent underpinnings of the contemporary Japanese state. 
Holloway analyzes the figure of the teenage girl as a vessel of cultural instability and danger in recessionary Japan, 
addressing sexual violence and HIV in fiction from the 1990s. Finally, Slaymaker takes up the female body in 3.11 
fiction, focusing on the anxiety-ridden experiences of women confronted by a hostile public and the contemporary 
resurgence of the all-too-familiar discourses on the female body that emerged in the wake of WWII. 
"

34,Malgorzata K. Citko,Manuscripts and Transmission of Knowledge: Textual Instability in Premodern ,"Textual instability is a key feature of literary works of the ancient and medieval periods, based on the transmission of 
these texts through hand-brushed copies. Texts in premodern Japan were received and modifiedâ€”replaced, miscopied, 
corrected, negotiated, and transformed, as shown by scholars such as Kenneth Butler, Joshua Mostow, Jamie Newhard 
and Michael Emmerich. Thus, for centuries there tended to be no single authoritative textual version. As Michael 
Brownstein and Haruo Shirane have argued, the notion of canonical texts and the development of a national literature with 
a stable literary canon took hold during Meiji-era modernization, with an emphasis on textual singularity being a notable 
feature. The fluidity of premodern texts was thus not a  problem until it challenged the new sense of authoritative 
knowledge being constructed in a modern age. 

This panel brings together three papers dealing with textual variability in premodern Japan and the Ryukyu Kingdom to 
reconsider manuscript cultures and channels of knowledge transmission. Malgorzata Citko demonstrates that medieval 
reception of an ancient poetic classic, the Man'yshÅ« (Collection of Ten Thousand Leaves) differs significantly from its 
contemporary one. Robert Huey examines, among other texts, a 16th-century manuscript of Ise monogatari (Tales of Ise), 
probing gaps in our understanding of how texts were transmitted within the kingdom, and between Ryukyu and Japan. Kei 
Umeda shows how perceptions of premodernity influenced the categorization of works in the late Edo-era index of the 
Gunsho ruijÅ« (Classified Collection of Japanese Classics). 
"

35,Tara M. McGowan,The Future of Digital Japanese Studies: NCC's Evolving Role as a Catalyst for ,"In honor of the 25th anniversary of the North American Coordinating Council on Japanese Library Resources (NCC), this 
interdisciplinary roundtable will explore the opportunities and challenges involved in providing the diverse types of digital 
resources that are currently becoming available to Japan scholars. Participants will discuss the increasing primacy of 
digital scholarship throughout Japanese studies and examine NCC's future role as a catalyst in collaborative efforts to 
make Japanese resources and digital scholarship broadly accessible. Since 1991, NCC has worked across institutions and 
disciplines, developing cooperative collections, advocating for access to digital databases, and forging partnerships among 
faculty, librarians, and technical specialists to nurture new expertise. This roundtable brings together scholars and 
librarians who are actively engaged in collaborative digital scholarship and services and who are working with NCC to 
chart new directions in developing and making digital services available globally in years to come. 

Robert Campbell, Director-General at the National Institute of Japanese Literature (NIJL) in Tokyo, will present on the 
digital projects NIJL is currently spearheading in collaboration with domestic and overseas research universities, 
including  Project to Build an International Collaborative Research Network for Pre-modern Japanese Texts. Thomas 
Conlan, Professor of Japanese History at Princeton University, will introduce his website and ongoing multimedia 
projects, where he is developing a shared knowledge base through digital collaboration. Robin Le Blanc, Professor of 
Government at Washington and Lee University, will examine NCC's IUP (Image Use Protocol) and discuss the new 
challenges involved in developing a protocol for the moving image. Toshie Marra, Japanese Collection Librarian at UC 
Berkeley, will describe Berkeley's ongoing collaborative digitization projects with Japanese libraries, and Regan Murphy 
Kao, Curator of the East Asia Library Special Collections at Stanford University, will discuss the various digital initiatives 
that Stanford Libraries is pursuing and their possible applications for scholars in Japanese Studies.  

This interactive roundtable will be moderated to encourage lively discussion amongst the panelists, as well as active 
participation from the audience. 

 
"

36,Colin Jones,A Disciplinary Perspective on Postwar Japan ,"The years immediately after 1945 are frequently portrayed as a moment of democratization undercut by the preservation 
of the country's conservative political and business elite. By canvassing the problems the transition from war to peace and 
democracy posed to four different academic disciplines, we seek to find new frameworks for understanding this pivotal 
era. 

Hiromu Nagahara explores the mercurial career of music critic Sonobe Sabur, who remapped his wartime conception of 
Japanese music onto a booming popular music culture after 1945. Matthieu Felt reconstructs a fierce postwar debate about 
the meaning of traditional Japanese literature, showing how it gave rise to an understanding of the canon as a depoliticized 
literature centered on the uniqueness of Japanese aesthetics and expression. Focusing on the racial anxieties raised by the 
konketsuji ( mixed-blood children) of Allied servicemen and Japanese mothers, Kristin Roebuck highlights the 
surprising prevalence of eugenics discourse after WWII. Colin Jones explains why a group of prominent law professors 
who embraced fascism in the 1930s emerged after 1945 as some of the most vocal proponents of the postwar constiuttion. 
"

37,Emi F. Bushelle,Overcoming Nativism: New Approaches to Discourses of Identity in Japanese History ,"Over the last three decades, the idea that the intellectual movement known in Japanese as Kokugaku is properly 
understood as  nativism has acquired widespread acceptance. The term, however, is rarely defined with precision and 
consequently has come to be understood as a kind of nationalism before the advent of the modern nation-state, a 
connotation that runs counter to its use in American history and our current political discourse. Even more problematic is 
its implied reification of the category of identity; for discourses on identity in premodern Japan were often inferences 
following from, rather than founding predicates of, particular cosmological, religious, and historical understandings of the 
world. Nonetheless, recent studies have argued for the relevance of  nativism as a category for interpreting any 
affirmation of the land and people of Japan. 

This panel seeks to overcome the interpretive limitations of nativism by exploring alternative approaches to the study of 
Japanese identity from the Heian to the Meiji periods. Kanagawa highlights the valorization of the foreign in a Heian-
period official genealogy. Bushelle traces the roots of Kokugaku identity discourse to medieval Buddhist naturalism. 
McNally argues that the legendary founding of the RyÅ«kyÅ« Kingdom by Minamoto no Tametomo, widely accepted during 
the Edo period, provided a concrete example of a society that was neither completely foreign nor completely Japanese. 
Wachutka elucidates the new self-identity of Meiji-period Kokugaku vis-Ã -vis its Edo-period predecessor and its 
challenge to society's overt Westernization. Finally, Wehmeyer brings expertise in Kokugaku and historical linguistics to 
comment from an interdisciplinary perspective. 
"

38,Lindsay Nelson,"Haunted Spaces: Reimagining Ghosts, Monsters, and Trauma Across Japanese ","What role does art play in the processing of trauma and terrifying events? This panel brings together research on rakugo, 
Japanese visual / performance art, and Japanese cinema to explore the changing ways that trauma, reality, and fiction 
interface across different media forms. Lauri Kitsnik examines the aesthetic space of Shind Kaneto's Onibaba, locating it 
within a long tradition of Japanese ghost films and also revealing the link between the film's fictional space of terror and 
its bare-bones production conditions. Katherine Mezur focuses on a space of   fearful transfiguration in the animal-
human characters of four contemporary Japanese artists to show the often thin line between kawaii and disturbing 
""animations."" Lindsay Nelson examines the question of who owns the haunted space of Aokigahara, Japan's  suicide 
forest, which exists as both a real site of ongoing tragedy and a source of inspiration for horror narratives. Finally, Esra 
Gokce Sahin analyzes the space where humor meets fear and uncertainty, focusing on rakugo performances in the wake of 
the Fukushima nuclear disaster and how a particular story, Shinigami, took on new resonance after Fukushima. In 
examining how these haunted spaces of ghost stories, uncanny-cute characters, suicide, and nuclear disaster are portrayed 
across a range of media, we will explore the ways that art cracks open our perception of trauma, challenging us toward an 
activist encounter with dark subject matter. 
"

39,George T. Sipos,Coerced Beliefs and Willing Conversions: Tenko Literature in Pre- and Postwar ,"The debate is still open as to whether Japan's 1930s-1940s tenk (coerced ideological conversion) of anti-kokutai activists 
was a unique phenomenon in Japan and elsewhere, a social experiment in oppression in which state authorities, and 
societal and personal pressures alike, led to a public mass ideological conversion of almost all of Japan's leftist 
organizations' members and to their declarative  re-integration in the  family state. This panel proposes not only a re-
opening of the discussion about tenk through literary narratives produced by the  converted writers of the time, but also 
a bridge, for comparison purposes, with the more or less willing conversion of the postwar period of the student 
movement activists, in the 1960s and 70s. 

The presentations in the panel focus on distinct albeit intertwined kinds of narratives. From the repositioning of the family 
trope in the literature of the 1930s tenk, a salient one given the insistence of the official state discourse on the importance 
of both the family state and the modern nuclear family as pillars of Japan's modernity, to the specific case of the tenk 
writer par excellence, Shimaki Kensaku, and his own take on the wartime  return to Japan discourse, and finally to 
individual self-negation in the literary works of former student movement activists, such as Shji Kaoru and Mita 
Masahiroâ€”an absolute expression of willing ideological conversionâ€”the panel creates an inter-generational bridge 
through works of literature, in an attempt to unite the two historical moments, as well as re-evaluate their differences. 
"

40,Kristine Dennehy,Bringing the Archives of Wartime and Occupied Japan to Life: Perspectives from the ,"This panel brings together several different approaches to Japanese archival materials from the wartime and occupation 
periods (ca. 1940-1952). As a graduate student in the field of East Asian Languages and Cultures, Eric Siercks focuses on 
documents in the Prange Collection generated by censors in early postwar Tohoku and Hokkaido as a way to analyze the 
interplay between individual censors and the broader policies of the Allied forces. Eric Van Slander complements this 
reading of the Prange Collection documents with an archivist's intimate knowledge of related administrative records held 
in the National Archives. Such insights are crucial in the process of successfully accessing and effectively utilizing these 
kinds of primary sources for future research projects. Yoko Nagasaka Myers provides another perspective from the private 
sector with an overview of the collaborative work she has done with the Japanese government as well as other academics 
to uncover records related to the Battle of Iwo Jima. Finally, Kristine Dennehy will introduce ways that English-language 
primary source evidence from occupied Japan can be integrated into undergraduate and graduate courses as a way to 
expand the geographic scope of inquiry in classes ranging from world history surveys to seminars in historical 
methodology. Discussant Yasuko Hassall Kobayashi, with institutional affiliations in Japan and Australia, will provide 
commentary based on her expertise and research into military intelligence reports (including interrogations of Japanese 
POWs) from the Allied Translator and Intelligence Service (ATIS), generated by Australian and American forces during 
World War II. 
"

41,Livia Rodica Monnet,"Towards an Ecosophical Approach to Nuclear Ecologies : Reading Time, Irradiated ","This panel examines three interrelated issues pertaining to the ethico-aesthetics of the nuclear : temporality; irradiated 
bodies; and nuclear affect (as one aspect of the larger problematic of the production of nuclear subjectivity). These 
questions are probed  in close readings of recent Japanese fiction, manga, photography, and film. Of primary interest in 
these readings are less the ongoing legacies of major nuclear events such as the atomic bombing of Hiroshima and 
Nagasaki or the Fukushima Daiichi meltdowns (though these legacies are discussed), but whar might be called an 
ecosophical approach  to nuclear ecologies that instigates transversal junctions between technoscience, politics, culture, 
and social movements (Guattari, Chaosmosis). 

Examining the depiction of radiation-induced illness in several popular manga, Yuki Miyamoto's paper argues that 
biopolitics serves to normalize the slow violence of radiation exposure by legitimizing certain illnesses and deaths while 
ostracizing the irradiated body. Davre maps the visualization of human, nuclear, and photographic memory, and the 
latter's animation by radioactive half-life and the (limited) duration of the daguerreotype plate in selected images from 
two recent series of daguerreotypes by artist Arai Takashi. Beth examines the imaging of the contraction of time, and the 
articulation of a potential futurity of sociopolitical transformation in Matsue Tetsuaki's film Tokyo Drifter. Finally, 
Monnet argues that Tsushima Yuko's story Celebrating Cesium 137's Half-Life suggests that the potential for revolution 
against totalitarian nuclear capitalism is immanent in the lived virtuality of nuclear ecologies. 
"

42,Mire Koikari,Deep Militarization: Okinawa and Dynamics of Militarism Beyond the Fences ,"This panel explores what we call  deep militarization, a historical process whereby the dynamics of militarism goes 
beyond the  fences to circulate across and penetrate into various social spheres. Challenging and complicating the U.S.-
base-centered analysis of power and resistance, we aim to establish an expanded analytical framework for critical 
Okinawan studies, a framework that addresses the intersecting web of social actors, economic practices, cultural 
institutions, and political processes that sustain militarization outside the military. Our approach is historically sensitive, 
as it rethinks and reimagines the contours and contents of militarization in Okinawa whose origin goes back to (even 
before) the Cold War and whose contemporary articulation is inseparable from post-Cold War globalization. Our 
framework is also interdisciplinary, drawing on analytical insights in History, Anthropology, Ethnomusicology, and 
Gender Studies to examine, for instance, new technologies of social control, politics of cultural preservation, and 
soundscape of militarization. 

More specifically, Tze May Loo will discuss the politics of cultural heritage during the US occupation of Okinawa. Yuan 
Yu Kuan will examine the soundscape of contemporary Yonaguni where the Japanese Self-Defense Forces exerts visible 
presence. Masamichi Inoue will focus on the increasing securitization surrounding anti-US base protest movements and 
its consequences. Chris Nelson will explore the activities of an Okinawan NGO whose objective is centered on the 
excavation and preservation of war memories. Following these presentations, Mire Koikari will discuss the ways in which 
these four papers suggest alternative approaches to critical studies of Okinawa in the age of militarism and globalism. 
"

43,Barbara Ambros,Constructing Gender and Sexuality in Japan ,"Coming Soon 
"

44,Jin-kyung Lee,Identity and Agency among Korean Women in Past and Present ,"Coming Soon 
"

45,Eric Cunningham,"Forests, Agriculture, and Oceans: Rurality and the Political Economy of Nature in ","This panel explores the ways in which spaces and objects usually associated with nature and the rural in Japan are cast and 
recast as sources of economic value and alternative futures. While modern Japan might be best known for high-tech 
goods, there remains significant economic activity derived from interactions with forests, agricultural lands, and oceans. 
These activities carry with them symbolic meaning and are often tied to traditions that reach back in time. This session 
explores the ways in which different groups engage with these spaces and considers how they are conceptualized, 
imagined, and materially configured. In particular, participants examine the entanglements and subjectivities that emerge 
as people seek to intervene and reimagine rural spaces and their associated objects. Three of the papers deal with the 3.11 
disasters, which has been a fulcrum for attempts to reconfigure Japan's Tohoku region. Specifically, these papers look at 
how the economic potential of the ocean is reimagined after the nuclear disaster with wind farms; how urbanites who 
moved to Tohoku after 3.11 bring with them new ideas about the economic futures of rural spaces; and in the strategies to 
revalorize agricultural products from Fukushima prefecture. A fourth paper considers how forests in Nagano prefecture 
are recast alongside dam building projects as national resources that support modern economic activity in urban locales. 
Our examinations of efforts to configure spaces and objects deemed rural and/or natural contribute to contemporary 
debates about the  decline of peripheral spaces and the effects of the 3.11 disasters. 
"

46,Timon Screech,The Issue of â€˜Openness' in Early-Edo Political Culture ,"This panel brings together five scholars of 17th-century Japan who have undertaken their studies in different academic 
traditions. The binding theme of the panel is the concept â€˜openness.' This term is selected to be deliberately provocative, 
since the period is more often defined as withdrawal from international affairs, then â€˜national isolation' (sakoku). The 
panel will argue that this interpretation is worth reconsideration. We do not â€˜reopen the question of sakoku', which has 
been done before, but investigate certain threads and features which allow alternative directions in Edo culture to appear. 

We begin from the treatment of historic space, and reallocation of landmarks by Tokugawa Ieyasu; we then turn to the 
embededness of the shogunate in Edo, and assess the way in which this notionallyâ€“remote location was, conversely, 
represented as part of international normative politics. Two further papers look at collecting of foreign objects, taking two 
case studies: commissions for Korean ceramics placed with the Japan House in Pusan, and the private collection of 
Western objects amassed by the shogunal councilor Inoue Masashige. 
"

47,Jan Bardsley,Cold War Era Cultural Alliances and Gendered Nationalism in Japan ,"Building on recent interventions in Cold War scholarship on Japan informed by feminist theory and women's history 
(Koikari, Sherif, Yano, Yoneyama), our panel looks beyond treaties and military strategy to examine the intersection of 
gender, social status, and ethno-nationalism in popular culture. Taking up key social phenomena in Japanâ€”fashion shows, 
milk campaigns, feminist memoir, and literary fandomâ€”we explore constructions of Cold War gender ideologies as 
entwining notions of national health, security, social mobility, and economic success. 

Bardsley investigates Tokyo's 1950s fashion runways as high-status Cold War contact zones pitting New York 
tastemakers against Japanese displays of  native charm and incipient women's liberation.  Analyzing advertising 
campaigns surrounding  pure, healthy Japanese milk, Horiguchi examines how the production and consumption of dairy 
products and the visual narratives promoting them in the 1950s-60s shapes strong, gendered bodies as worthy allies of the 
U.S. Bullock takes up the career of French culture  expert Asabuki Tomiko, who capitalized on postwar Japanese desires 
for social mobility by positing Franceâ€”rather than the U.S., Japan's Cold War mentor and  protectorâ€” as an alternate 
