organizer,session-title,text
involvement were the efforts in creating a narrative portraying China as an ""ocean country"" and the development of an 
ocean culture to help people understand ocean affairs. 

 
"

Tristan G. Brown,New Approaches in Chinese Environmental History:  Transregional and Frontier ,"This panel draws on the latest approaches in environmental history to explore the ways in which interactions between 
humans and their environments can help in reevaluating questions of territorial space, national sovereignty, and resource 
exploitation particularly for frontiers and borderlands in East Asia. Over the last two centuries, frontier regions not only 
experienced significant environmental change but also played important roles in the construction of national discourses 
surrounding both the meaning of nature and the execution of state-building projects. As frontier studies have occupied a 
central place in the environmental history of the United States, this panel examines the relevance of such an approach to 
China. Jonathan Schlesingers study traces transregional ecological transformations through resource consumption to 
reach conclusions regarding scale and boundary in Asian environmental history. Shifting this line of inquiry to local 
examples of resource protection, Tristan Browns paper examines legal cases that highlight the cultural strategies invoked 
in local courts along the Qings southwestern frontier for the maintenance of common resources and environments. 
Shellen Wus paper explores the role of Chinese frontiers in Republican-era discourses of national development and 
demonstrates how these discussions continue to inform questions of sovereignty today. In a similar vein, Micah 
Muscolinos paper examines efforts in water and soil conservation in northwestern China during the Second Sino-
Japanese War and investigates their long-term legacies. In sum, this panel documents new approaches in Chinese 
environmental history by centering frontier spaces and aims to encourage discussion about the potential contributions of 
frontier studies to Chinese environmental history. 
"

Sandi Ward,"Beyond Digitization, Cross-Specialization ","Beyond Digitization, Cross-Specialization 

 

Scholarship and librarianship are inextricably linked in this digital era. The volume of information available electronically 
may bewilder seasoned scholars. Meanwhile, shifting expectations for academic libraries may intimidate veteran 
librarians. Increased information access offers exciting opportunities for scholar-librarian cooperation, but complicates the 
traditional scholar-librarian relationship. The AAS conference provides a unique opportunity for scholars and librarians to 
come together, and we propose our panel as a chance for honest dialogue about scholars and librarians ambitions and 
concerns regarding digital scholarship. Three scholar-librarian pairs will discuss three recent collaborations across 
specializations. 

Zhaohui Xue and Yan Long discuss establishing a web archive of online content created by grassroots Chinese NGOs - a 
project whose politically-sensitive nature might have deemed it impossible without library support and faculty interest. 
Responding to the proliferation of databases for studying historical China, Feng En-tu and Lik Hang Tsui argue that 
academic libraries must train scholars in digital methodologies, and assert the need for discipline-specific software 
applications, data collections, and standards. Cecile Sun turns a critical eye toward digital humanities, questioning 
quantitative researchs value to the discipline. With Tianni Wang, she describes an oral history project that has convinced 
her of digital humanities potential and the possibilities for librarian-faculty cooperation. Discussants Peter Bol and Jim 
Cheng will facilitate conversation about the intersection of scholarship, instruction, and information management. 
"

Hsiao-wen Cheng,"Medicine, Material Culture, and Daily Life in Middle Period China ","Our roundtable examines the intersection of medicine, market, and material culture in Middle Period China. Rapid 
developments in Song era markets deeply impacted cultures of health, most obviously in the price, circulation, and 
knowledge of drug materials. Drug prices played a role in the popular perceptions of efficacy. New forms of medical 
knowledge influenced the Song states attempt to monopolize the import of medicinals, such as luxury aromatics from the 
Indian Ocean. Local drug markets merged with temple fairs, and the marketplace became an integral part of local healing 
practice. Meanwhile, physicians and literati variously embraced and pointedly rejected the norms of the marketplace, 
seeking health in the materiality of everyday life, rustic foods, and easy-to-get drug materials. 

How did professional physicians and amateurs respond to market factors and the changing conditions of daily lives? How 
does our attention to material culture illuminate medicine and healing culture during the Song and the Song-Yuan-Ming 
transition? What does our attention to the materiality of healing cultures illuminate about Chinas Middle Period? 

Each panelist will use a case study to discuss these questions. Margaret Ng examines the increasing use of frankincense in 
medicine for women in relation to state monopoly of imports. Hsiao-wen Cheng studies the Song differentiation between 
the two kinds of zhu (atractylodes rhizome)--cangzhu and baizhu--and the new attention drawn to the former. TJ Hinrichs 
explores thirteenth century valorizations of rustic foods and lifestyles as means to health, focusing on Lin Hongs Pure 
Offerings of Mountain Dwellers(Shanjia qinggong) and Pure Matters of Mountain Dwellers (Shanjia qingshi). Kai-hsiang 
Hsu investigates the development of a drug market in front of a Daoist temple, Yuju Guan, in Chengdu. Brigid Vance 
analyzes the recipes and advice for promoting healthy sleep and dreaming from the Song to the Ming included in An 
Explication of the Profundities in the Forest of Dreams (Menglin xuanjie). 

We will precirculate our materials to all those committed to attending the panel. Each panelist will present ten minutes 
only, leaving ample time for discussion. 
"

Margaret L. Boittin,Governing Society in Contemporary China and Taiwan ,"This panel focuses on the nexus of political authorities, laws, and social actors in contemporary China and Taiwan to 
explore how these states govern society.  Taking a multidisciplinary approach, it examines both how government officials 
engage with social actors and the implications for state-society relations.   Legal anthropology scholar Anya Bernstein 
analyzes how administrative law in Taiwan is shaped and interpreted by public law court judges and administrators.  Law 
and politics researcher Margaret Boittin highlights the ground-level tensions that play out between local level policing and 
health bureaucrats whose policies towards sex workers conflict with one another.  Management and politics professor 
Greg Distelhorst studies the biases of local officials when listening to ordinary citizens.  Political scientist Diana Fu 
examines Chinas new feminist movement and explains why the state has targeted it for repression. 

All four papers present new evidence on the points of contact between political authorities and ordinary citizens in 
China and Taiwan.  They also share common themes, with a focus on gender (Boittin and Fu), judicial and public security 
agencies (Bernstein, Boittin, Distelhorst, and Fu), and the behavior of local officials (Bernstein, Boittin, and Distelhorst).  
The studies are also methodologically diverse, drawing on survey, interview, and ethnographic research methods.  

Senior scholar Mary Gallagher, an expert on law, politics, and state-society relations in China, will discuss the papers in 
the context of the topical and theoretical themes. 
"

Luca Gabbiani,Of Rules and Men - the Qing Imperial Institutions and Their Legal Framework ,"From the earliest records available, institutions of government have developed in close interaction with the law. Turning 
their attention away from previously favored interpretations of the role of law in history, in recent decades, scholars of 
Chinas imperial regime have shed light on the extent to which the operation of its institutions was intricately linked to the 
dynamics of society and to the existence of a rich and evolving legal tradition. Benefitting from the existence of rich and 
abundant archival sources, central as well as local, Chinas late imperial period has been at the forefront of this innovative 
research, allowing for an ever-finer perception of the specific workings of the legislative machinery in its relation to the 
various components of the state and society. The four papers grouped in this panel jointly address the issue of the role of 
the law in framing the multidimensional workings of Qing dynasty institutions, from the perspective of central and 
territorial institutions. Each presenter will shed light on a specific facet of the question by combining an analysis of actual 
judicial cases, of legislation and its evolution, and of the different stages and actors of the judicial procedure. In 
combination, these contributions will provide the grounds for a renewed discussion of how exactly legal principles infused 
the ordinary workings of the Qings bureaucratic monarchy and on the intricate interrelation between the bureaucracy and 
society in the shaping of this process. 
"

Hua-yu Li,Stalin and China: Mining the Archives and Shedding New Light ,"In this panel, four scholars who have done extensive archival research in Russia and elsewhere address the important 
historical role played by Stalin in China from the late 1920s to the mid-1950s.  Four case studies on a range of topics shed 
new light on the great extent of Stalins influence on China, as well as its limits. Hua-yu Lis paper examines how Chinese 
students sent to Moscow in the mid- to late-1920s learned how to purge political adversaries through their own 
experiences in the midst of the brutal purges carried out during Stalins Cultural Revolution between 1928-1931. 
Alexander V. Pantsovs study explores the double game played by Chiang Kai-shek and Stalin as they competed to 
impose their respective visions on the relationship between China and the USSR. Deborah Kaple examines radically 
different reactions to Khrushchevs February 1956 denunciation of Stalin in the Soviet Union and China. Soviet citizens 
accepted the facts about Stalins crimes as presented by Khrushchev, but Chinese citizens reacted with shock and could 
not accept the Soviet condemnation of Stalin. Koji Hirata analyzes the reconstruction and expansion of the Anshan Steel 
and Iron Works (Angang), one of the 156 central projects of Chinas first Five-Year Plan (1953-57), launched with aid 
from Stalin. Even in this era of learning from Stalins Soviet Union, the Sino-Soviet relationship at the local level was 
characterized by tension, miscommunication, and miscalculations. 
"

Clark L. Alejandrino,Disasters and the Reimagining of Modern China ,"Far from externalities disrupting normal life, disasters and disaster planning became constitutive elements of modern 
Chinas social organization and historical imagination. Yet studies have only begun to grapple with this fact. Depending 
on the particular circumstances in which disasters occurred or were expected to occur, Chinese leaders, scientists, and 
bureaucrats used different frames to mediate the meanings of disaster and in the process produced new subjectivities and 
ways of knowing and organizing society and the world. Using insights from cultural history, environmental history, and 
science and technology studies, this panel examines three understudied disasters (earthquakes, wartime bombing, and 
typhoons) at extraordinary junctures in Chinese history (late Qing national humiliation, the threat of Chinas demise in 
WWII, and mass mobilization under Mao) to examine how they were appropriated to refashion notions of history, nation, 
and community, and effect social change.  

Daniel Hausmann looks at how the introduction of the earthquake table fissured dynastic notions of time and buttressed a 
national history of suffering in the early Republic. John B. Thompson examines how unpredictable destruction by 
Japanese bombs in World War II Chongqing led planners to a new technocratic view of Chinese society as a network of 
crucial industrial and social functions arranged in physical space. As Clark Alejandrino shows, modern meteorology and 
mass mobilization in 1950s Guangdong transformed local organizations and understandings against typhoons while 
legitimizing Communist rule.  Judith Shapiro and Grace Shen, who have worked on the history of Chinese disasters and 
science, are discussant and chair respectively. 
"

Nicholas Morrow Williams,Sensory Pleasures and Perils in Premodern China ,"Confucius said that he had never met anyone who loved virtue (de) as much as sensual pleasure (se), tacitly admitting that 
virtue and pleasure are not easily dissociated. Ever since, the pleasures of the senses have been fraught with profound 
moral and political ramifications in Chinese cultural tradition. Drawing on the insights of previous scholarship by Ronald 
Egan, Craig Clunas, Jonathan Hay, and others, our panel sheds new light on the cultural meaning of sensory pleasures. 
How were the pleasures of the senses--whether tactile, olfactory, gustatory, visual, or auditory--both regulated and also 
defined by political concerns, and how could cultural norms and ideals be represented materially? 

We examine the representation of sensory experience in various literary genres from different periods of imperial China, 
using both interdisciplinary readings of received texts and also newly discovered or overlooked materials. David 
Knechtges examines the early discourse of the perils of immoderation via a newly discovered Han manuscript, but 
Hsiang-lin Shih shows how the allure of swords and feminine beauty were used for political ends in the early medieval 
period. Nicholas M. Williams analyzes the allegorical implications of floral fragrances in Southern Song ci lyrics, while 
Guojun Wang unveils the materiality of genres via a close study of clothing in the writings of Kong Shangren. By 
restoring the broader cultural contexts of tangible and mundane experience, our papers offer initial forays toward a history 
of both the pleasures and perils of the senses in premodern China. 
"

Austin Dean,The Extension of Credit in Modern Chinese History ,"This panel brings together historians, economists, and political scientists who use different approaches and methodologies 
to study the extension of credit in Chinese history. Qiao examines how Shanxi merchants, through credit-extension and 
account balancing, created new transactional practices on the northern frontier of the Qing Empire where precious metal 
was in short supply. Deans paper examines why a consortium of foreign banks was willing to lend money to the Qing, 
and then the Beiyang government, for currency reform. The paper by Manconi provides new insights on the effects of the 
infamous Silver Purchase Act of 1934 by conducting an econometric analysis on the records of a Tianjin bank. Finally, 
Chen investigates the capital structure and loan portfolio of the China Development Bank in the present day to show the 
relation between political and economic goals. Taken together, these papers examine the economic, political, diplomatic, 
and personal factors that influence the extension of credit. At a broader level, the panel aims to increase interdisciplinary 
communication by providing a forum to share perspectives, tools, and approaches. 
"

Julian Gewirtz,Zhao Ziyangs Legacy: A Reassessment ,"When Chinas deposed former leader Zhao Ziyang died under house arrest in 2005, his 59-character-long official obituary 
was notable primarily for its omissions: referring to Zhao only as a comrade, it did not mention that he had served as 
General Secretary of the Chinese Communist Party (1987-1989), Premier of the State Council (1980-1987), or Party 
Secretary of Sichuan Province (1975-1980). Zhao who was at the pinnacle of Chinese politics for nearly a decade from 
1980-1989 has been erased from most official Chinese accounts of the period, and scholarship about Zhao has long 
been limited by a lack of access to essential source material. Recently, however, scholars have benefitted from a wide 
range of major new insights, sources, and arguments regarding Zhaos contributions and these new sources have led to a 
reevaluation of Zhaos contested legacy. 

This roundtable will reassess Zhao Ziyang by examining five interrelated topics: (1) Zhaos overall legacy as an economic 
and political reformer and national leader; (2) Zhaos workstyle and policy orientations; (3) his interactions with other 
CCP elites (including Hu Yaobang and Deng Xiaoping) that led ultimately to his overthrow in 1989; (4) Zhaos role in 
Chinas foreign relations, notably U.S.-China relations; and (5) how the understanding of Zhaos legacy has been altered 
by the appearance of newly available materials. 

Professor David Shambaugh, who published the first biography of Zhao in 1984, will chair and direct the panel, while 
also addressing the first issue. Professor Wu Guoguang, a former official who worked under and closely with Zhao will 
discuss the second issue. Robert Suettinger, former senior CIA analyst and NSC Director for Asia under President 
Clinton, closely followed Chinese domestic politics in the 1980s and will speak about the third issue. Former U.S. 
Ambassador to China Winston Lord interacted directly with Zhao and observed him in his government capacity, will 
discuss the fourth issue. Julian Gewirtz, who has recently published a book examining Zhaos economic reforms and their 
international interconnections, will discuss the fifth issue. All participants will address the fundamental question of what 
Zhao Ziyangs legacy means for contemporary Chinese history, for the study of Chinese politics, and for Chinas future. 
"

Wen-Yi Huang,New Perspectives on Migration in Chinese History ,"In all eras, people, goods, and ideas traveled into, across, and out of what is now China. Recent years have seen a rising 
interest in the study of migration in contemporary China, yet migration in the imperial period remains an under-researched 
topic. This panel focuses on the political, economic, social contexts of human mobility in China through case studies from 
various historical periods. In the light of recently excavated sources from the Qin and early Western Han periods, 
Korolkov investigates the role of state control over mobile populations in the formation of early Chinese empires. Settlers 
are usually presented as colonizers and agents of the empire, yet, as Tsai shows, settlers often adapted to the place they 
settled. He shows this through a comparison of how the Qing and Russian Empires perceived and reacted to the 
nativization of their settlers in Central Eurasia. Huangs paper turns attention from migrants to the left-behind families. By 
analyzing cases of ransom and cross-border transportation of the deceased during the Northern Wei and Southern 
Dynasties, she reveals how migration shifted boundaries of home and family. In contrast to the above three papers that 
focus on separation and dislocation, Ebrey argues that frequent large-scale migration, even when involuntary, in time 
helped make possible Chinas repeated unifications by bringing people of different localities, languages, and customs 
together. 
"

Yu-chih Lai,"Canton, Beijing, and the Court: Chinese Export Painting Revisited ","So-called Chinese export paintings usually refer to paintings from the eighteenth and nineteenth centuries made by 
annoymous artisans in Canton for a Euro-Amercian market. These paintings are often seen as mass produced souvenirs 
and as such, treated as works with little aesthetic values, and therefore relegated to the margins of art history as an isolated 
genre of study. Consequently, very little attention has been paid to their connection with mainstream Chinese art and the 
significance of local production in the making of art for a foreign audience. 

This panel intends to shed new light on the subject of export art by examining the court-city-port production network of 
an eighteenth century China. There are four papers covering export art productions in Canton and Beijing, their 
relationship with Chinese material culture, court workshop pratice, and finally their post-China biographies in Europe. By 
expanding the geographical scope to include the inland, these papers will shift from the China/West narrative that has long 
dominated the field of export art. It will also expand the West to include export artworks in Russian collections, adding 
another node in the network of commerical art in Qing China. It endeavors to show how export paintings were not merely 
the product of foreign fantasy or the monopoly of the coastal cities but enjoyed a reciprocal interaction with traditional 
Chinese art practices and has played a significant role in shaping an understanding of China. Therefore, they are an 
indispensable link to understanding later Chinese art from a global perspective. 

 
"

Yuyu (Lara) Yang,"Two-part Panel: Knowledge Production, Reading Practice, and Meaning Making in ","As books, journals, comics, pamphlets and big character posters were produced in diverse ways for new purposes during 
the Mao era, who read them, and more importantly,  

how did they read them? For reading was a fraught and contested process during the early PRC, as intellectuals and 
academic work came under intense scrutiny, mass literacy and education campaigns created new reading communities, 
and collective reading became a fundamental feature of political study processes. 

These papers demonstrate how the CCP sought to use mediated reading practices to extend its governmental reach to 
shape communities and individuals throughout the Mao era. Focusing on the early PRC, DeMare explores how urban 
intellectuals interpretations of party policies and revolutionary narratives determined the dynamics of land reform in local 
communities. Sun illuminates the imposition of state censorship on personal reading during the Cultural Revolution and 
its limitations. Despite these efforts, however, Henningsen and Mittler suggest that there were continuities in reading 
practices and forms of meaning from before and after the Cultural Revolution, and indicate ways that readers were often 
creative participants in the process of meaning making, forming communities of reading whose importance might go far 
beyond the process of readerly and writerly engagement. 

Together, these panels map the entire communications circuit (Darnton) for Maoist China from the conception and 
planning of texts to their material production and circulation to readers consumption and reaction and link it to broader 
dynamics of state building and governmentality. 
"

Jonathan E. E. Pettit,Big Data Analysis of Chinese Religions on Social Media Under Xi Jinping Regime ,"Any scholar in the humanities and social science who studies China would face a dilemma about original data. On the one 
hand, accesses to archival documents, to elite individuals, and to social surveys are often restricted and the obstacles are 
too difficult to overcome. On the other hand, the wealth of available data is beyond any individuals capability to digest in 
a lifetime. What makes the task all the more daunting is the datas variety, which ranges from historical gazetteers and 
maps to the news, images, and social media posts of our time. This unprecedented volume of information can, however, 
also be considered a sealed treasure trove that, once opened, has the potential to illuminate past and present in ways 
hitherto thought closed for lack of practical methods to give the findings shape and meaning.  

       The panels purpose is to present some of these methods and see how they can be brought to bear on society, politics, 
or religion in China. Since computational methods cover a wide range and include spatial, temporal, network, and textual 
analysis, as well as techniques of graphic, cartographic, and virtual visualization, scholars of different disciplinary 
background, endowed with different expertise, should feel at home participating.  We hope is that the mutual stimulation 
that results will initiate a new computational approach to the understanding of China. We will particularly focus on big 
data analysis of social media about religions posted since 2012. 
"

Hilde De Weerdt,Governance and Diplomacy in Medieval East and Inner Asia ,"Coming soon 
"

Adam P. Liff,East Asian International Relations in the Trump Era ,"This panel brings together a group of political scientists with expertise in Northeast Asian international relations to answer 
pressing questions concerning the regions contemporary politics. The papers have broad geographical coverage: US-
China relations, Japan-South Korea-US relations, China-South Korea-US relations, and Chinese domestic politics and 
foreign policy. Their research questions tackle pressing issues of theoretical and policy concern, including: 1) why does 
China increasingly employ coercive diplomacy toward South Korea, pressuring Seoul to abandon a US missile defense 
system despite an objectively worsening threat from North Korea? 2) What are the prospects for domestic politics to allow 
for improved Japan-South Korea relations in this rapidly changing threat environment? 3) Why is Chinas rise to great 
power status in the 21st century different from those of the past, and what does that mean for the applicability of existing 
theories to this contemporary case? And 4) during a period in which both Chinas material capabilities/influence and 
concerns about U.S. commitment to global leadership are increasing, what determines how Chinese leaders 
conceptualize leadership and how likely they are to pursue such a role internationally? 
"

Francis L. F. Lee,Postcolonial Identity Politics in Hong Kong ,"The salience and radicalization of identity politics in Hong Kong is one of the most unprecedented and unexpected 
changes since the end of Britishcolonial rule. Despite Chinas economic enticements and intense efforts to promote 
patriotism, a variety of localist identities and movements have flourished in Hong Kong among a younger generation, with 
some activists making the once unthinkable claim for political independence.  How does one analytically define Hong 
Kong and Hong Konger? This panel examines the multiple and contradictory trajectories of identity politics and value 
change in Hong Kong in the past two decades and especially after the Umbrella Movement laid bare the governments 
forceful means to exert political control and revealed its determination to redefine the One Country Two Systems 
formula. The first paper uses aggregate longitudinal data to document the publics growing sense of political efficacy even 
as they register declining confidence in formal political institutions.  Another paper reinforces the panels focus on the 
evolution of diverse political identities as social movements and political regime become increasingly contentious.  
Zeroing in on the spectrum of localist politics and identities, a third paper highlights the drastically changed relationship 
between a region and a political center.  The final paper uses the transmission of Hong Kongs collective memory towards 
June 4th 1989 to trace how a young generation of Hong Kong citizens gain diverse moral sensibilities and rapidly 
reposition themselves in face of a China that had turned from a nuanced cultural formation to an uncompromising political 
authority. 
"

Daan Pan,Healing Is a Many-Splendored Thing: Re-framing Interdisciplinary Relations and ,"The interdisciplinary implications of traditional Asian medicine and the rising popular enthusiasm for alternative healing 
modalities call for more concerted interdisciplinary scholarly efforts to expand ongoing inquiries and open new frontiers. 
This panel integrates complementary approaches to examine interdisciplinary relations and narratives of traditional 
Chinese and Tibetan medicines and promote dialogues across the disciplines. Panel paper topics include a) a historical 
examination of the transformation of the perception of the medical body following Chinas 1913 anatomy law, b) a 
literary study problematizing the cultural-ethical values underlying Chinese medical and literary narratives about the 
practice of medicinal cannibalism; c) an interartistic study of the poetics of Chinese narrative medicine in the context of 
emotional health and healing; and d) an anthropological framing of cultural narratives about epidemics and epidemiology 
in medieval Tibet. A coherent theme overarching this panel is the re-framing of multi-faceted interdisciplinary 
relationship in traditional Chinese and Tibetan medicines. This re-framing offers valuable clues for understanding the 
evolution and diversity of Asian medical traditions while also problematizing Traditional Chinese Medicine as a unified 
system of medical orthodoxy. Another shared theme is the re-framing of interdisciplinary narratives about Asian 
medicine. Specifically, these narratives are historical, ethical, aesthetic, and spiritual, which encompass the medical body, 
the medicinal body, emotional hygiene, and epidemiology. Such narrative-framing, while identifying contributory factors 
for the survival and sustainability of traditional Asian medicine, helps to both critique and preserve these traditions. 
Furthermore, it sheds an interdisciplinary light on the representations of medicine in Asian intellectual traditions. 
"

Yun-Chu Tiffany Tsai,Healing Is a Many-Splendored Thing: Re-framing Interdisciplinary Relations and ,"The interdisciplinary implications of traditional Asian medicine and the rising popular enthusiasm for alternative healing 
modalities call for more concerted interdisciplinary scholarly efforts to expand ongoing inquiries and open new frontiers. 
This panel integrates complementary approaches to examine interdisciplinary relations and narratives of traditional 
Chinese and Tibetan medicines and promote dialogues across the disciplines. Panel paper topics include a) a historical 
examination of the transformation of the perception of the medical body following Chinas 1913 anatomy law, b) a 
literary study problematizing the cultural-ethical values underlying Chinese medical and literary narratives about the 
practice of medicinal cannibalism; c) an interartistic study of the poetics of Chinese narrative medicine in the context of 
emotional health and healing; and d) an anthropological framing of cultural narratives about epidemics and epidemiology 
in medieval Tibet. A coherent theme overarching this panel is the re-framing of multi-faceted interdisciplinary 
relationship in traditional Chinese and Tibetan medicines. This re-framing offers valuable clues for understanding the 
evolution and diversity of Asian medical traditions while also problematizing Traditional Chinese Medicine as a unified 
system of medical orthodoxy. Another shared theme is the re-framing of interdisciplinary narratives about Asian 
medicine. Specifically, these narratives are historical, ethical, aesthetic, and spiritual, which encompass the medical body, 
the medicinal body, emotional hygiene, and epidemiology. Such narrative-framing, while identifying contributory factors 
for the survival and sustainability of traditional Asian medicine, helps to both critique and preserve these traditions. 
Furthermore, it sheds an interdisciplinary light on the representations of medicine in Asian intellectual traditions. 
"

Brandon Dotson,"Indian Gods, Chinese Trigrams, and the Transmission and Assimilation of ","As a poor cousin of both science and religion, a begrudged relative of ritual and play, divination persists in the margins of 
established traditions. Nevertheless, divinations often highly specific methods and its material culture recommend it as an 
excellent topic for larger studies of the transmission and assimilation of traditions across cultural and linguistic 
boundaries. 

This panel highlights such process through case studies of Chinese divination texts spanning three millennia. Two papers 
bring divergent areal and methodological perspectives to bear on a single text, a circa 9th-century Dunhuang manuscript 
called the Moxishouluoor Method of MaheÅ›vara. Constance Cooks paper applies Sinological methods to situate this 
tradition with respect to the deep Chinese past, drawing on 4th and 1st-century BCE divination texts. Brandon Dotsons 
paper adopts a comparative and material cultural perspective to place the same text in a tradition that traces back to India, 
and which was transmitted to Tibetans and Turks along the Silk Road. 

Kelsey Seymours paper explores a system of divination also associated with the Hindu deity MaheÅ›vara, assimilated by 
Chinese Buddhists during the Tang. Here a tantric master identifies with MaheÅ›vara and commands a spirit to speak 
through a child. Beverley McGuire brings to bear a religious studies approach by investigating a 17th-century 
commentary to the 6th-century Divination Sutra that discusses the place of divination in Buddhism vis-Ã -vis conventional 
and ultimate truths. Together, and through their intersections, these papers open a discussion of processes of transmission, 
assimilation, and religious appropriation of a given ritual technology. 
"

Xiaolin Duan,Nature and Cities: Discovering the Transformed Urban Environment in China ,"Chinese metropolises, like cities elsewhere, rely on the consumption and harnessing of natural resources for survival. 
With successes and failures, engineering projects have not only transformed the urban environment, but also reshaped 
close, yet complex, relationships between the urban population and the environment. Engineering the environment has 
been essential to urban growth in China for centuries, though historical changes of the urban environment remained less 
noticeable in contrast with the excessive attention given to the outward prosperity of cities. Drawing on theories from 
environmental and ecological studies, the history of science and technology, cultural geography, and urban planning, this 
highly interdisciplinary panel explores the transformed urban environment in Hangzhou, Kaifeng, and Tianjin of imperial 
and modern China. All four papers emphasize the history of urban engineering and address interactions between humanity 
and nature in urban spaces. Chen explores the ecological changes taking place in the Northern Song Kaifeng with the 
massive inflow of nonnative animal and plant species into the citys numerous gardens and parks. Duans paper examines 
the Hangzhou municipal governments effort to regulate and urbanize West Lake through a balance between economic 
profit and ecological sustainability in the Song Dynasty. Wangs study focuses on water control projects in Tianjin and the 
changing riparian communities in the Qing dynasty. Hes research investigates the engineering programs near West Lake 
conducted by the communist state with particular attention to the unexpected ecological failure caused by algae bloom in 
the 1950s. 
"

Lara R. Kusnetzky,Making Subjects Fit to Rule: Cultural Revolutions in Twentieth-Century China ,"A cultural revolution, Mao Zedong argued in 1940, was necessary to create New China. Revolutionary culture was 
consequential not because it reflected revolutionary politics and economy, but because it prepared the ideological ground 
for the establishment of a new society and a new state under the leadership of the Chinese Communist Party. Mao 
invested the Marxist concept of culture (wenhua) with voluntarism. Culture became a pedagogical and a political force 
in its own right, a means to measure and to mobilize national development. After 1949, the Party would use cultural 
revolutions to disseminate the Communist worldview, create proletarian literature and art, combat illiteracy, develop 
scientific knowledge, and radicalize social relations. The aim was to cultivate revolutionary citizens who were not just 
politically committed and emotionally connected to the Communist cause, but possessed the level of culture that socialist 
governance required. These revolutionary citizens would use weapon and word to realize the Partys shifting vision of 
Chinese modernity. 

This panel examines the concept and practice of cultural revolutions to demonstrate the dynamic, changing role of culture 
in Chinese Communist ideology and governance. Mark McConaghy explores the Partys effort to revolutionize culture in 
the 1930s and 1940s. Lara Kusnetzky analyzes the empowerment of the proletariat through the writing of factory history 
in 1958. Patricia Thornton shows that the cultivation of literate citizens was central to the revolutionary politics of the 
1950s and 1960s. Fabio Lanza investigates the radical re-thinking of education and hence the democratization of culture 
in the 1970s. 
"

Lei Lin,"Connecting the Empire: New Perspectives on Transport, Communication, and ","The panel explores the Qing Empire (1644-1912) as a spatial-temporal construct and its empire-building as a project of 
producing and consolidating the physical space of empire. While Qing China has received much scholarly attention as an 
early modern empire, the technical aspect of its territorial expansion and management of its varied geography are still far 
from being thoroughly understood. This panel thus asks about the ways in which the empire connected and synchronized 
its vast territories and frontiers. Specifically, we focus on the transport, communication, and calendrical systems, which 
made possible military operations in frontiers, large-scale logistic arrangements, long-distance information transmission, 
all of which worked to hold the imperial realm together. We will examine strategies, technologies, and practices employed 
to develop and maintain an empire-wide and, in some cases, transregional network that facilitated information and 
material exchange between different places within and beyond the empire. Through case studies addressing multiple 
localities and stages of Qing History, we hope to contribute to the understanding of Qing by constructing a panoramic and 
chronological narrative of the evolvement of its circulation system. Papers explore high-Qing military logistics and 
communication in the trans-Himalayan region, late-Qing establishment of international telecommunication and tension 
with foreign entities, extension of the postal system into Mongolia and Tibet, and imperial control of the calendar and 
time in the context of Inner Asian expansion. Our discussant will contribute remarks based on his recent work on 
information system, military logistics, and the maintenance of empire in British India and Chinese contexts. 
"

Lan Wu,Spatial Statecraft: Urban Political Narratives in Late Imperial and Early Republican ,"Over the course of the late Imperial and early Republican eras, the state defined and controlled the key spaces of 
Beijing including its palaces, academies, temples, streets, walls, and borders. Rather than passive settings for the display 
of state power, these spaces were dynamic arenas in which the rulers shaped their identities and built the foundations of 
their rule. This interdisciplinary panel examines the ways in which architecture and authority intersected in Beijing from 
the Ming through the early Republic. Campbell investigates the major factors impacting the design of the imperial palaces 
in the Yongle reign and how they contributed to the construction of his imperial identity. Wu considers how two Qing 
emperors articulated a new imperial imagination in remaking Beijings Lama Temple in the eighteenth century. Barish 
discusses several buildings associated with imperial education, examining the relationship between architecture and 
changing knowledge regimes from the eighteenth to the twentieth centuries. Finally, Yu focuses on the Embassy District 
and the development of Changan Avenue in the late Qing and early Republican years, exploring the relationship between 
disruptions in the spatial order and challenges to state rule. Using a broad range of sources and methodologies, these 
papers propose new ways of reading urban spaces as sources of power in state-building in Beijing over a period of 
approximately five centuries. 
"

Naixi Feng,Knowledge of Exotica: Writing the Other and Placing the Self in Early Modern ,"Knowledge about exotica was in constant motion in early modern China. This panel parses the discursive roles of exotica 
as textual objects in Chinese historiography and literature from the early seventeenth to late nineteenth centuries. We 
explore how a variety of men of letters adapted ideas of the foreign and the strange to respond, on the one hand, to social 
and political transformations, and reflect, on the other, upon their own cultural, political, and ethnic identities. The four 
papers draw on assorted materials antiquity catalogues, miscellaneous jottings, bannerman drama, and popular fiction 
to discuss how knowledge producers manipulated discourses of exotica to situate themselves and the empires they 
inhabited in relation to borderlands, foreign countries, and spiritual realms. Representations of exotic phenomena, such as 
tribute goods, imported weaponry, foreign languages and customs, and the alien sight of a mushroom cloud over an 
explosion, place exotica in their contemporary worlds while also responding to earlier literary archetypes. Such 
retrospective gestures are integral to many of the discourses in which writing about exotica in early modern China were 
embedded. Our studies reveal a set of strategies that domesticated, classified, and politicized common knowledge of 
foreign objects and collective memories of strange spectacles. We combine literary history with discussions of ethnicity, 
urban space, visual and material culture to show how, in a broader sense, texts intersected with social realities, and more 
